institution,project_id,country,title,description,amount_original,original_currency,amount_eur,amount_usd,approval_date,approval_year,closing_date,status,sector,instrument_type,public_private,implementing_entity,source_url,financial_intermediary,guarantee_blended,eu_alignment,humanitarian_dev
UNICEF,XM-DAC-41122-Central African Republic-0750/A0/04/801/003,Central African Republic,1.1.2: ANTENATAL+EMONC,"By 2016 60% of targeted health facilities  have the capacity to provide ANC+ and EmONc care(2012-2014)By 2016, at least 80% of pregnant and lactating women and newborns benefit from Antenatal Car (ANC) + services through fixed and advanced strategies in 13 targeted prefectures.",2733946.0,USD,2126591.0,2733946.0,2012-01-01,2012.0,,Pipeline,health,grant,public,,,no,no,,development
UNICEF,XM-DAC-41122-Central African Republic-0750/A0/04/801/004,Central African Republic,1.1.3 : TREATMENT OF CHILDHOOD DISEASES,"By 2016, the treatment of childhood diseases (malaria, pneumonia, diarrhea)  is  effective both at community level and in health facilities in the targeted prefectures.(2012-2014)  By 2016, the treatment of childhood diseases (malaria, pneumonia, diarrhea) and multi-micronutrient supplementation are",6552536.0,USD,5096870.0,6552536.0,2012-01-01,2012.0,,Pipeline,health,grant,public,,,no,no,,development
UNICEF,XM-DAC-41122-Central African Republic-0750/A0/04/801/005,Central African Republic,1.1.4 : STENGTHENING ROUTINE EPI + PACKA,"By 2016  at least 60% of Health facilities are rehabilitated and provide routine and Supplementary immunization activities including micronutrient supplementation and deworming to improve vaccination coverage and respond to outbreaks(2012-2014)By 2016, 100% of EPI centers are functional, offer the E",15676602.0,USD,12193997.0,15676602.0,2012-01-01,2012.0,,Pipeline,health,grant,public,,,no,no,,development
UNICEF,XM-DAC-41122-Central African Republic-0750/A0/04/801/005,Central African Republic,1.1.4 : STENGTHENING ROUTINE EPI + PACKA,"By 2016  at least 60% of Health facilities are rehabilitated and provide routine and Supplementary immunization activities including micronutrient supplementation and deworming to improve vaccination coverage and respond to outbreaks(2012-2014)By 2016, 100% of EPI centers are functional, offer the E",15676602.0,USD,12193997.0,15676602.0,2012-01-01,2012.0,,Pipeline,health,grant,public,,,no,no,,development
UNICEF,XM-DAC-41122-Central African Republic-0750/A0/04/801/006,Central African Republic,"1.1.5 : MALNUT PREVENTION, TREATMENT-SUR","By 2016, in all health prefectures, at least 80% of SAM cases are detected , referred, and treated  according to the national protocols, undernutrition  preventive activities are developed and nutritional surveillance and coordination  systems are strengthened.â€ (2012-2014) By 2016, in the 13 targ",25414504.0,USD,19768594.0,25414504.0,2012-01-01,2012.0,,Pipeline,food security,grant,public,,,no,no,,humanitarian
UNICEF,XM-DAC-41122-Central African Republic-0750/A0/04/801/007,Central African Republic,(2012-14) : EPI AND VIT A CAMPAIGNS,"Each year from 2012-2016, the planned campaigns are conducted with quality and integrate vitamin A supplementation for children 6- 59 months and deworming of children 1-5 years every 6 months.",3485233.0,USD,2710978.0,3485233.0,2012-01-01,2012.0,,Pipeline,multisector,grant,public,,,no,no,,development
UNICEF,XM-DAC-41122-Central African Republic-0750/A0/04/801/007,Central African Republic,(2012-14) : EPI AND VIT A CAMPAIGNS,"Each year from 2012-2016, the planned campaigns are conducted with quality and integrate vitamin A supplementation for children 6- 59 months and deworming of children 1-5 years every 6 months.",3485233.0,USD,2710978.0,3485233.0,2012-01-01,2012.0,,Pipeline,multisector,grant,public,,,no,no,,development
UNICEF,XM-DAC-41122-Central African Republic-0750/A0/04/801/008,Central African Republic,1.1.6: EMERGENCY HEALTH,Response to Oubreak and emergency health issues is provided timely based on the national and international standards (2012-2014)  Provision of emergency health services for conflict affected populations.,12019279.0,USD,9049980.0,12019279.0,2013-01-02,2013.0,,Pipeline,humanitarian assistance,grant,public,,,no,no,,humanitarian
UNICEF,XM-DAC-41122-Central African Republic-0750/A0/04/801/008,Central African Republic,1.1.6: EMERGENCY HEALTH,Response to Oubreak and emergency health issues is provided timely based on the national and international standards (2012-2014)  Provision of emergency health services for conflict affected populations.,12019279.0,USD,9049980.0,12019279.0,2013-01-02,2013.0,,Pipeline,humanitarian assistance,grant,public,,,no,no,,humanitarian
UNICEF,XM-DAC-41122-Central African Republic-0750/A0/04/802/001,Central African Republic,1.2.1 : HIV ADVOCACY& POLICY,"By 2016,  the necessary strategic and policy documents have been developped and the HIV/AIDS multi-sectoral response is coordinated, implemented monitored and evaluated.(2012-2014) By 2016, the CNLS and key stakeholders in the fight against HIV and AIDS have developed the necessary strategic and pol",2637491.0,USD,2051564.0,2637491.0,2012-01-01,2012.0,,Pipeline,multisector,grant,public,,,no,no,,development
UNICEF,XM-DAC-41122-Central African Republic-0750/A0/04/802/002,Central African Republic,1.2.2.-PMTCT & PEADIATRIC AIDS  PREVENTI,"By 2016, at least 60% Class A and B health facilities have adequate capacity for the prevention, diagnosis and treatment of children, youth and pregnant women and their partners infected / affected by HIV and  AIDS in the 12 targeted prefectures and Bangui.(2012-2014) -  By 2016, at least 80% Class ",1062045.0,USD,826108.0,1062045.0,2012-01-01,2012.0,,Pipeline,health,grant,public,,,no,no,,development
UNICEF,XM-DAC-41122-Central African Republic-0750/A0/04/802/003,Central African Republic,(2012-14)  HIV TESTING AND PROPHYLACTIC,"By 2016, 100% of class A and B health facilities are strengthened in Prevention of Mother to Child Transmission of HIV (PMTCT) and conduct systematic HIV testing for pregnant women and their partners in the 13 targeted prefectures.",1071434.0,USD,833412.0,1071434.0,2012-01-01,2012.0,,Pipeline,health,grant,public,,,no,no,,development
UNICEF,XM-DAC-41122-Central African Republic-0750/A0/04/802/005,Central African Republic,(2012-14): HIV  CARE AND SUPPORT,"By 2016, 100% of Prevention of Mother to Child Transmission of HIV (PMTCT) sites provide ART (prophylaxis and treatment) for women, their partners and children who tested HIV + in the 13 targeted prefectures and monitor those who drop out.",1106448.0,USD,860647.0,1106448.0,2012-01-01,2012.0,,Pipeline,transport,grant,public,,,no,no,,development
UNICEF,XM-DAC-41122-Central African Republic-0750/A0/04/802/005,Central African Republic,(2012-14): HIV  CARE AND SUPPORT,"By 2016, 100% of Prevention of Mother to Child Transmission of HIV (PMTCT) sites provide ART (prophylaxis and treatment) for women, their partners and children who tested HIV + in the 13 targeted prefectures and monitor those who drop out.",1106448.0,USD,860647.0,1106448.0,2012-01-01,2012.0,,Pipeline,transport,grant,public,,,no,no,,development
